contaCodigo,contaDescricao,valorOrcado
4132501180000000000,Rec. de Rem. de Dep. Bancário - Rec. Vinculado - Diretamente Arrecadado,7200.00
4132501990500000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - Operações de Crédito,7200.00
4132501990600000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - Estado,7200.00
4132501990700000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - Outros,7000.00
4132502990500000000,Rec. de Rem. de  Dep. Bancários - Recursos não Vinculados - Ordinários - Diretamente Arracadados,7200.00
4160014000000000000,Serviços de Inspeção e Fiscalização,654356.00
4176199000000000000,Outras Transferências de Convênios da União,14400.00
4176299000000000000,Outras Transferências de Convênio dos Estados,60840.00
4176400000000000000,Transferência de Convênios Instituições Privadas,50000.00
4191935100000000000,Multas por ADM por Danos ao Meio Ambiente,229228.00
4199099000000000000,Outras Receitas,14400.00
4247199000000000000,Outras Transferências de Convênios da União,31944.00
4247299000000000000,Outras Transferências de Convênio dos Estados,31944.00
4247400000000000000,Transf. de Convênios de Instituições Privadas,100000.00
4760014000000000000,Receitas Intra-Orçamentária - Serviço de Inspeção e Fiscalização,10990.00
4112299000000000000,Outras Taxas pela Prestação de Serviços,15394.00
4132501180000000000,Rec. de Rem. de Dep. Bancário - Rec. Vinculado - Diretamente Arrecadado,7697.00
4132501990600000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - Estado,7697.00
4160013030000000000,Serviços Especiais PM/Bombeiro,15394.00
4160014000000000000,Serviços de Inspeção e Fiscalização,769680.00
4199099000000000000,Outras Receitas,7697.00
4247299000000000000,Outras Transferências de Convênio dos Estados,36136.00
4132501990500000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - Operações de Crédito,7200.00
4132501990600000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - Estado,7200.00
4132501990700000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - Outros,7200.00
4132501990800000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - União,7200.00
4132502990100000000,Remun. de Outros Depósitos de Recursos não Vinculados - ORDINÁRIOS,7200.00
4132502990500000000,Rec. de Rem. de  Dep. Bancários - Recursos não Vinculados - Ordinários - Diretamente Arracadados,7200.00
4160019000000000000,Serviços Recreativos e Culturais,7200.00
4175000000000000000,Transf. de Pessoas,7200.00
4176199000000000000,Outras Transferências de Convênios da União,14400.00
4176299000000000000,Outras Transferências de Convênio dos Estados,132156.00
4176400000000000000,Transferência de Convênios Instituições Privadas,14400.00
4199099000000000000,Outras Receitas,14400.00
4247199000000000000,Outras Transferências de Convênios da União,88164.00
4247299000000000000,Outras Transferências de Convênio dos Estados,88164.00
4112126000000000000,Taxa de Publicidade Comercial,14400.00
4132501990500000000,Rec. de Remun. de Outros Dep. Banc. Rec. Vinculados - Operações de Crédito,14400.00
4132501990600000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - Estado,14400.00
4132501990700000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - Outros,14400.00
4132501990800000000,Rec. de Rem. de Outros Dep. Bancários - Recursos Vinculados - União,14400.00
4132502990100000000,Remun. de Outros Depósitos de Recursos não Vinculados - ORDINÁRIOS,14400.00
4132502990500000000,Rec. de Rem. de  Dep. Bancários - Recursos não Vinculados - Ordinários - Diretamente Arracadados,14400.00
4133399000000000000,Outras Rec de Conc e Perm - Dir de Uso de Bens Púb,9732.00
4160019000000000000,Serviços Recreativos e Culturais,31020.00
4175000000000000000,Transf. de Pessoas,6756.00
4176199000000000000,Outras Transferências de Convênios da União,81132.00
4176299000000000000,Outras Transferências de Convênio dos Estados,81132.00
4176400000000000000,Transferência de Convênios Instituições Privadas,6756.00
4199099000000000000,Outras Receitas,14400.00
4247199000000000000,Outras Transferências de Convênios da União,100000.00
4247299000000000000,Outras Transferências de Convênio dos Estados,31956.00
4132501140000000000,Rec. de Remun Dep Banc Rec Vinculado - Convênio SU,7697.00
4132501150000000000,Rec. de Remun Dep Banc Rec Vinculado - Recurso Pró,7697.00
4132501160000000000,Rec. de Remun Dep Banc Rec Vinculado - Convênio do,7697.00
4132501170000000000,Rec. de Remun Dep Banc Rec Vinculado - Convênio da,7697.00
4132502990400000000,Remun. de Outros Depósitos de Rec. não Vinc. - Ord,7697.00
4160005010100000000,Serviços Hospitalares - DPVAT,7697.00
4160005010200000000,Serviços Hospitalares - Proc. Particulares,15394.00
4160005010300000000,Serviços Hospitalares - SUS,15394.00
4160005010400000000,Serviços Hospitalares - MAC,15394.00
4160005100000000000,Serviços Ambulatoriais,72273.00
4160005990000000000,Outros Serviços de Saúde,15394.00
4176101000000000000,Transf. de Conv. da União para o SUS,72273.00
4176201000000000000,Transf. Conv. Estados p/ SUS,72273.00
4199099000000000000,Outras Receitas,15394.00
4247199000000000000,Outras Transferências de Convênios da União,34148.00
4247299000000000000,Outras Transferências de Convênio dos Estados,34148.00
4132501100000000000,Rec de Remun Depos Banc de Recurs Vinc - FNAS,7697.00
